Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Honda Vs Lamborghini pt 2if you haven't answered part 1 of this question please use the following linkhttps://peerwise.cs.auckland.ac.nz/course/main.php?cmd=answerQuestion&id=4250213As the year draws to a close, Honda is set to beat Lamborghini in profits due to their new method of storing ID numbers of vehicles! This is quite embarrassing for Lamborghini so the board of directors meet to discuss how they can beat Honda. After their meeting, they come to the conclusion they have no other choice but to assassinate the CEO. They download the TOR browser and navigate the dark web to a hitman site. Each hitman listed has a price, a time-frame and a success rate. They decide on a formula to decide which hitman has the best value and then sort them using the following steps:1) pick the first hitman2) Go along the list and put all the worse hitmen in one group and the better in another group3) In this better group they repeat the process. They then repeat this process in the worse group4) They then concatenate the two sorted groups into one sorted listWhat algorithm did they use?
","Merge Sort
","Bubble Sort
","Quick Sort
","Insertion Sort
",,"Quicksort chooses a pivot (in this case the first element) and then categorises the rest of the elements into two groups of worse and better than the pivot. This method is called recursively on the two groups until you have two sorted lists which can then be concatenated
",
"Which of the following sorting algorithms has its best case time complexity (for n elements), to be the same as the time complexity of tree traversal methods (for a tree of n nodes)?
","Quick sort
","Merge sort
","Selection sort
","Insertion sort
",,"See 2019 weeks 7a at page 5 for reference to all sorting algorithms, along with their average and worst case scenarios for time complexity as well.Moodle: ""Week7a.pdf""See 2019 Week 7b at page 29 for the big-Oh of traversals' reference.Moodle: ""Week7b-Trees1.pptx""
","quadristavrioverde (sk2285)
"
"Which of the following sorting algorithms has its best case time complexity (for n elements), to be the same as the time complexity of tree traversal methods (for a tree of n nodes)?
","Quick sort
","Merge sort
","Selection sort
","Insertion sort
",,"See 2019 weeks 7a at page 5 for reference to all sorting algorithms, along with their average and worst case scenarios for time complexity as well.Moodle: ""Week7a.pdf""See 2019 Week 7b at page 29 for the big-Oh of traversals' reference.Moodle: ""Week7b-Trees1.pptx""
","quadristavrioverde (sk2285)
"
"Suppose you have the following AVL tree:Select the correct order in which the following 3 tree traversal ways are displayed: i) A > B > D > E > C > F > Gii) D > B > E > A > F > C > Giii) D > E > B > F > G > C > A
","i) in-orderii) pre-orderiii) post-order
","i) post-orderii) in-orderiii) pre-order
","i) pre-orderii) in-orderiii) post-order
","i) pre-orderii) level-orderiii) post-order
","i) post-orderii) level-orderiii) pre-order
","The definitions for each traversal order method are:Pre-order:1. Process the current node.2. Process the nodes in the left  sub-tree.3. Process the nodes in the right  sub-tree.In-order:1. Process the nodes in the left sub-tree.2. Process the current node.3. Process the nodes in the right sub-tree.Post-order:1. Process the nodes in the left sub-tree.2. Process the nodes in the right sub-tree.3. Process the current node.For further information regarding Binary Tree Traversals see 2019 Week7b between pages 14-28See .pptx file from moodle: ""Week7b-Trees1.pptx""
",
"In data structures and algorithms, we use various sorting algorithms to sorta data. Depending on various factors, we might choose a different algorithm.Which of the following, appropriately and formally defines the term""Sorting"" for a sorting algorithm?
","It is the process of replacing items with other items, depending on whether they are smaller or bigger in value.
","It is the process of ordering a bunch of items based on one (or more) rules, subject to one (or more) constraints.
","It is the process of re-ordering items one by one in a list, subject to one (or more) constraints.
","It is the process of ordering a bunch of items based on one (or more) rules.
",,"The definition of Sorting is given in the set of slides 2019 week4b on page 2. It is followed by the definitions of items, rules and constraints, individually.See PDF file on moodle: ""Week4b-post.pdf""
",
"An AVL Tree is made containing 35 nodes. What is the minimum height of the tree
","33
","5
","6
","24
","no minimum
","As all nodes have maximum of two child nodes each. The minimum height of the tree is (log2(33)) rounded up which is 6
",
"The run times for a sorting algorithm, for a list size and time taken in seconds , are as follows: = 420, = 69 = 840, = 1104 = 1680, = 17664What is the run time complexity of the algorithm?
","
","
","
","
","
","When doubles, the time taken, , is increased by a factor of , which is .
",
"Before working at the University of Bath, while working in Honda, Dr. Tom Finch created a binary tree about one of Honda's competitors.When delivering the Power Point presentation, the tree on the projector looked like this:He also passed round some handouts, with his comments and text explaining some of the aspects of the presentation.But to be more environmentally friendly, he decided to save some paper, and print the tree in one line:He was later asked:""Which tree traversal algorithm did you use on the binary tree to get this output?""What was his reply?
","In-order
","Pre-order
","Post-order
","Level-order
","Breadth First
","Week 7b slides from Moodle_____________________________________________________P.S. He later realised that he should have kept the tree as it was...
",
"Starting with an empty circular buffer of size 7 that allows overwriting:1) Insert: 4 then 1 then 9 then 23) Call Remove twice4) Insert: 3 then 1 then 1 then 8 then 3If I were to print the elements of the buffer in order from the start, what would be printed?
","4, 1, 9, 2, 3, 1, 1, 8, 3
","4, 1, 3, 1, 1, 8, 3
","9, 2, 3, 1, 1, 8, 3
","3, 1, 1, 8, 3, 4, 1
",,"Initially, we insert [4, 1, 9, 2] which go in order. Then when calling remove the oldest two elements are removed so now the buffer looks like [9, 2] with the start point being shifted to the position that 9 is in. We now insert 5 more elements 3, 1, 1, 8, 3 which all go in order so the final buffer is C
",
"By constructing the adjacency matrix of the graph below (with rows/columns arranged alphabetically), which of the following matrices describes vertices which are three edges apart?
","
","
","
","
",,"The adjacency matrix isIn general, computing Antells us which vertices are n edges apart.Here, A3gives us the result in (C).See Lecture17 - Graphs1 slides 7-11
",
"Insert the arrayinto a Self-BalancingBinary Search Tree. What is the output if you perform a Level-Order Traversal on the tree?
","1,2,3,4,5,6,7,8
","4,2,6,1,3,5,7,8
","4,6,2,7,5,3,1,8
","4,2,1,3,6,5,7,8
","None of the above
","Using the definition of a BST (as given in 2019 W8a Slide 4 of the lecture slides), the tree has the following structure:Root: 4Level 1: 2,6Level 2: 1,3,5,7Level 3: 8So our output is 4,2,6,1,3,5,7,8.Performing the wrong traversal may give one of the other choices, as will incorrectly applying the definition of a BST.
",
"Which statement best describes what happens when you sort an array, arr, of length n during one pass of aShell (k-)Sort(assuming k<n)?
","Shell's areoften shown as an illustration of the golden ratio,,in nature, similarly to the Fibonacci Numbers. As a result we do the following:1) Find the largest Fibonacci number smaller than n, call this ""r""2) Create a temporary array made up of arr at unique indices of the Fibonacci sequence (e.g. arr[0], arr[1], arr[2], arr[3], arr[5], arr[8], ... ,arr[r])3) Sort the temporary array.4) Update the values of arr at the indices of the Fibonacci numbers based on the sorted temporary array.5) Traverse the array backwards to create a second temporary array (e.g. arr[n], arr[n-1], arr[n-2], arr[n-3], arr[n-5], arr[n-8], ... ,arr[n-r])6) Sort the temporary array7) Update the values of arr at the indices {n - Fibonacci numbers} based on the sorted temporary array.8) Increase the index of the elements we're sorting by k and repeat
","1) Split the array into ""shells"" of length k2) Sort the shells3) Sum the total value of each shell4) Re-order the shells based off of their total shell value and concatenate the arrays back together5) Repeat
","1) Compare elements arr[0] and arr[k]2) Swap if arr[k] is smaller3) Compare arr[1] and arr[k+1]4) Swap if arr[k+1] is smaller and so on5) If we performed a swap before reaching the end of the array, repeat. Otherwise we're done.
","1) Sort the firstelements2) Sort the lastelements3) Repeat
","Shell Sort does not exist
","(c) is the only feasible sorting algorithm. Donald Shell invented Shell sort and shells have no correspondence with the workings of the algorithm - (a) and (b) are completely made up. (d) is somewhat similar to Stooge sort, (with 3=k) but again is made up. A google search will quite quickly allow you to deduce (e) is false.See the 2019 Week 5a .ppt file for the explanation of shell sort.
",
